Date,open,high,low,close,volume
2022-01-03,170.21,171.6,169.1,171.54,6012777
2022-01-04,171.06,172.29,170.595,171.08,6748363
2022-01-05,172.0,173.47,171.62,172.22,7016099
2022-01-06,172.15,172.5,170.8,171.63,7301633
2022-01-07,171.46,174.3,171.13,173.95,6986006
2022-01-10,173.69,173.69,172.155,173.09,7698444
2022-01-11,172.99,173.39,170.11,171.25,8126404
2022-01-12,169.61,170.08,168.34,169.79,8116205
2022-01-13,169.0,170.42,168.46,168.76,6159444
2022-01-14,168.625,168.65,167.15,167.84,5847839
2022-01-18,167.1,167.715,166.01,167.1,7329346
2022-01-19,167.2,168.72,166.3165,166.58,5921517
2022-01-20,167.29,167.859,164.93,165.25,6011300
2022-01-21,166.19,167.99,164.47,164.87,10550302
2022-01-24,164.0,164.17,158.26,162.97,14087602
2022-01-25,162.36,168.41,161.58,167.63,14081247
2022-01-26,167.54,169.22,166.23,168.38,9963229
2022-01-27,169.39,171.91,169.0,170.59,9068738
2022-01-28,170.86,171.84,169.3,171.79,9783217
2022-01-31,171.5,172.62,170.82,172.29,8054895
2022-02-01,171.74,171.98,169.43,170.88,8154721
2022-02-02,169.65,172.99,169.65,172.77,7382821
2022-02-03,172.26,173.62,171.04,172.76,6240613
2022-02-04,171.0,172.98,170.1185,171.63,6392155
2022-02-07,171.41,171.74,170.01,171.06,6065670
2022-02-08,171.02,172.05,170.48,171.51,6296300
2022-02-09,172.07,172.24,171.25,171.49,5387540
2022-02-10,171.21,171.22,169.3,169.42,10355349
2022-02-11,169.12,170.15,167.54,167.71,13125328
2022-02-14,167.71,167.97,163.81,165.6,8967638
2022-02-15,166.13,168.1,166.01,167.31,6632823
2022-02-16,166.49,167.84,165.7114,167.21,8482618
2022-02-17,167.21,167.45,164.92,166.19,6227569
2022-02-18,164.98,165.36,162.94,163.36,6423165
2022-02-22,163.575,163.74,160.44,161.14,6773079
2022-02-23,161.51,162.639,160.85,161.22,8016903
2022-02-24,159.78,160.13,155.72,158.14,12883436
2022-02-25,160.0,166.985,159.7,166.0,11340354
2022-02-28,162.87,165.18,162.3802,164.57,9373511
2022-03-01,163.04,164.75,162.4079,164.0,8737846
2022-03-02,164.41,167.63,164.04,166.04,6793377
2022-03-03,166.7,169.335,166.32,168.48,7333736
2022-03-04,167.64,169.86,166.85,169.48,6302672
2022-03-07,168.3,173.12,167.36,172.21,11663353
2022-03-08,172.04,173.12,168.51,168.72,11100340
2022-03-09,170.01,170.23,167.89,169.36,7248218
2022-03-10,168.56,170.15,168.075,169.66,6171649
2022-03-11,169.13,171.46,169.02,169.35,5188196
2022-03-14,170.68,174.12,170.35,171.69,7729453
2022-03-15,173.33,176.52,172.55,176.14,10554596
2022-03-16,175.46,176.95,172.56,174.52,9603324
2022-03-17,175.21,176.84,174.2,176.8,7472219
2022-03-18,177.0,177.0,173.66,174.84,13324677
2022-03-21,174.66,177.16,174.32,175.83,7508983
2022-03-22,175.83,176.37,173.91,175.0,7800462
2022-03-23,175.23,175.54,174.09,174.34,5254350
2022-03-24,175.0,175.54,174.07,175.24,5012277
2022-03-25,175.69,177.7,175.22,176.92,4723053
